ID,NAME,PRICE,OLD_PRICE,STOCK,BRAND
43664,LEGO #14362905,24.99,29.99,0,LEGO
18450,s.Oliver #1574690,35.99,35.99,12,s.Oliver
15348,ESPRIT #796418,48.99,69.99,0,ESPRIT
16113,Friboo #62442,29.99,34.99,0,Friboo
9893,NIKE #1283807,24.99,24.99,6,NIKE
14541,s.Oliver #2119423,25.99,25.99,3,s.Oliver
22704,s.Oliver #3253651,29.99,29.99,5,s.Oliver
19302,Sony #1798446,69.99,69.99,0,Sony
42878,LEGO #9929190,30.99,39.95,0,LEGO
40755,s.Oliver #7538143,8.99,8.99,8,s.Oliver
4361,LEGO #168389,29.99,29.99,0,LEGO
467,s.Oliver #5687,22.99,22.99,0,s.Oliver
10920,s.Oliver #744328,23.99,23.99,0,s.Oliver
9848,VANS #912582,74.95,74.95,5,VANS
35022,SIKU #6797897,36.99,39.99,68,SIKU
16520,LEGO #1086696,33.99,36.99,340,LEGO
24525,LEGO #8545040,59.99,69.99,2,LEGO
2044,LEGO #269858,26.99,29.99,95,LEGO
28348,PLAYMOBIL #6962213,16.99,17.99,86,PLAYMOBIL
44074,LEGO #3138861,29.99,29.99,0,LEGO
37596,LEGO #11751436,29.99,29.99,0,LEGO
314,PLAYMOBIL #86252,18.99,19.99,94,PLAYMOBIL
30821,JOY TOY #5656921,7.99,7.99,183,JOY TOY
18171,SIKU #4143756,18.99,19.99,43,SIKU
48738,UNDERCOVER #2462931,4.99,7.99,37,UNDERCOVER
28398,PLAYMOBIL #4161522,18.99,23.99,34,PLAYMOBIL
34074,PLAYMOBIL #6358024,41.99,59.99,361,PLAYMOBIL
15436,LEGO #1196398,221.99,299.99,177,LEGO
43787,PLAYMOBIL #5860360,63.99,82.99,500,PLAYMOBIL
312,PLAYMOBIL #20059,4.29,3.99,184,PLAYMOBIL
45802,PLAYMOBIL #12865528,23.99,29.99,328,PLAYMOBIL
13726,PLAYMOBIL #700159,27.99,34.99,30,PLAYMOBIL
32269,LEGO #10847620,34.99,49.99,281,LEGO
19132,PLAYMOBIL #4073444,8.49,9.99,75,PLAYMOBIL
1968,PLAYMOBIL #56567,76.99,104.99,131,PLAYMOBIL
47433,PLAYMOBIL #14841456,14.99,16.99,236,PLAYMOBIL
47271,PLAYMOBIL #3755351,28.99,37.99,114,PLAYMOBIL
13395,PLAYMOBIL #2781318,25.99,33.99,150,PLAYMOBIL
28105,PLAYMOBIL #2361956,7.49,7.99,71,PLAYMOBIL
20347,LEGO #6429784,9.49,9.99,261,LEGO
30185,SIKU #8498723,33.99,39.99,30,SIKU
